Country,Female,Male,Grand Total
Bangladesh,9.91,22.9,32.81
Bhutan,25.72,47.26,72.98
Democratic People's Republic of Korea,46.69,68.4,115.09
India,61.9,82.43,144.33
Maldives,5.47,41.72,47.19
Myanmar,6.52,32.25,38.77
Nepal,41.32,94.82,136.14
Sri Lanka,34.41,149.76,184.17
Thailand,26.08,125.06,151.14
Timor-Leste,15.21,35.24,50.45
